#Courses
TDT4100,Example Course 0
TDT4101,Example Course 1
TDT4102,Example Course 2
TDT4103,Example Course 3
TDT4104,Example Course 4
TDT4105,Example Course 5
TDT4106,Example Course 6
TDT4107,Example Course 7
TDT4108,Example Course 8
TDT4109,Example Course 9
#Students
gcdnc,1993,94060
cwapc,1992,59618
gvtvj,1990,84818
csati,1995,36687
ahxmn,1992,58667
nhekh,1991,30840
dezmt,1999,36669
njkfw,1993,97720
kmsin,1998,48336
flbxt,1996,18462
vdlhv,1997,97262
gkknh,1993,23562
pzibi,1990,78062
whprn,1991,22272
cuzwi,1996,28779
stskm,1990,73040
gfcbf,1995,20144
dwpzo,1995,47268
ojmbx,1998,17787
mlnko,1999,97226
#Results
59618,1,TDT4100
59618,2,TDT4101
59618,3,TDT4102
59618,1,TDT4103
59618,2,TDT4104
59618,4,TDT4105
59618,4,TDT4106
59618,5,TDT4107
59618,2,TDT4108
59618,5,TDT4109
84818,5,TDT4100
84818,4,TDT4101
84818,3,TDT4102
84818,4,TDT4103
84818,3,TDT4104
84818,2,TDT4105
84818,5,TDT4106
84818,1,TDT4107
84818,1,TDT4108
84818,3,TDT4109
36687,1,TDT4100
36687,2,TDT4101
36687,1,TDT4102
36687,3,TDT4103
36687,1,TDT4104
36687,3,TDT4105
36687,4,TDT4106
36687,4,TDT4107
36687,1,TDT4108
36687,2,TDT4109
58667,2,TDT4100
58667,3,TDT4101
58667,4,TDT4102
58667,1,TDT4103
58667,4,TDT4104
58667,3,TDT4105
58667,4,TDT4106
58667,2,TDT4107
58667,3,TDT4108
58667,2,TDT4109
30840,1,TDT4100
30840,5,TDT4101
30840,2,TDT4102
30840,5,TDT4103
30840,3,TDT4104
30840,1,TDT4105
30840,3,TDT4106
30840,2,TDT4107
30840,3,TDT4108
30840,1,TDT4109
36669,3,TDT4100
36669,3,TDT4101
36669,3,TDT4102
36669,1,TDT4103
36669,3,TDT4104
36669,5,TDT4105
36669,5,TDT4106
36669,4,TDT4107
36669,1,TDT4108
36669,3,TDT4109
97720,3,TDT4100
97720,3,TDT4101
97720,5,TDT4102
97720,3,TDT4103
97720,3,TDT4104
97720,2,TDT4105
97720,4,TDT4106
97720,5,TDT4107
97720,3,TDT4108
97720,2,TDT4109
48336,5,TDT4100
48336,4,TDT4101
48336,5,TDT4102
48336,2,TDT4103
48336,2,TDT4104
48336,4,TDT4105
48336,4,TDT4106
48336,3,TDT4107
48336,1,TDT4108
48336,2,TDT4109
18462,2,TDT4100
18462,2,TDT4101
18462,1,TDT4102
18462,1,TDT4103
18462,1,TDT4104
18462,5,TDT4105
18462,3,TDT4106
18462,2,TDT4107
18462,2,TDT4108
18462,4,TDT4109
97262,2,TDT4100
97262,3,TDT4101
97262,2,TDT4102
97262,5,TDT4103
97262,4,TDT4104
97262,3,TDT4105
97262,2,TDT4106
97262,3,TDT4107
97262,3,TDT4108
97262,3,TDT4109
23562,2,TDT4100
23562,4,TDT4101
23562,5,TDT4102
23562,1,TDT4103
23562,3,TDT4104
23562,4,TDT4105
23562,1,TDT4106
23562,5,TDT4107
23562,3,TDT4108
23562,3,TDT4109
78062,3,TDT4100
78062,2,TDT4101
78062,3,TDT4102
78062,4,TDT4103
78062,2,TDT4104
78062,4,TDT4105
78062,5,TDT4106
78062,5,TDT4107
78062,1,TDT4108
78062,5,TDT4109
22272,5,TDT4100
22272,4,TDT4101
22272,4,TDT4102
22272,1,TDT4103
22272,5,TDT4104
22272,5,TDT4105
22272,5,TDT4106
22272,3,TDT4107
22272,5,TDT4108
22272,3,TDT4109
28779,2,TDT4100
28779,2,TDT4101
28779,2,TDT4102
28779,3,TDT4103
28779,1,TDT4104
28779,3,TDT4105
28779,5,TDT4106
28779,2,TDT4107
28779,3,TDT4108
28779,1,TDT4109
73040,3,TDT4100
73040,1,TDT4101
73040,3,TDT4102
73040,1,TDT4103
73040,2,TDT4104
73040,4,TDT4105
73040,3,TDT4106
73040,5,TDT4107
73040,2,TDT4108
73040,3,TDT4109
20144,5,TDT4100
20144,4,TDT4101
20144,4,TDT4102
20144,5,TDT4103
20144,4,TDT4104
20144,5,TDT4105
20144,3,TDT4106
20144,1,TDT4107
20144,2,TDT4108
20144,3,TDT4109
47268,4,TDT4100
47268,4,TDT4101
47268,1,TDT4102
47268,1,TDT4103
47268,3,TDT4104
47268,5,TDT4105
47268,5,TDT4106
47268,3,TDT4107
47268,5,TDT4108
47268,5,TDT4109
17787,3,TDT4100
17787,5,TDT4101
17787,1,TDT4102
17787,3,TDT4103
17787,4,TDT4104
17787,3,TDT4105
17787,1,TDT4106
17787,4,TDT4107
17787,1,TDT4108
17787,2,TDT4109
97226,4,TDT4100
97226,1,TDT4101
97226,4,TDT4102
97226,2,TDT4103
97226,4,TDT4104
97226,2,TDT4105
97226,3,TDT4106
97226,5,TDT4107
97226,2,TDT4108
97226,1,TDT4109
94060,3,TDT4100
94060,2,TDT4101
94060,4,TDT4102
94060,1,TDT4103
94060,4,TDT4104
94060,3,TDT4105
94060,1,TDT4106
94060,2,TDT4107
94060,2,TDT4108
94060,4,TDT4109
